"species"
"Ludwigia elegans"
"Ludwigia erecta"
"Ludwigia hassleriana"
"Ludwigia hyssopifolia"
"Ludwigia irwinii"
"Ludwigia leptocarpa"
"Ludwigia longifolia"
"Ludwigia major"
"Ludwigia martii"
"Ludwigia multinervia"
"Ludwigia myrtifolia"
"Ludwigia nervosa"
"Ludwigia octovalvis"
"Ludwigia peploides"
"Ludwigia peruviana"
"Ludwigia pseudonarcissus"
"Ludwigia quadrangularis"
"Ludwigia sedioides"
"Ludwigia sericea"
"Ludwigia torulosa"
"Aphelandra bahiensis"
"Aphelandra blanchetiana"
"Aphelandra bradeana"
"Aphelandra chamissoniana"
"Aphelandra claussenii"
"Aphelandra colorata"
"Aphelandra decorata"
"Aphelandra espirito"
"Aphelandra gigantea"
"Aphelandra grazielae"
"Aphelandra harleyi"
"Aphelandra hirta"
"Aphelandra hymenobracteata"
"Aphelandra ignea"
"Aphelandra liboniana"
"Aphelandra longiflora"
"Aphelandra marginata"
"Aphelandra maximiliana"
"Aphelandra neesiana"
"Aphelandra nemoralis"
"Aphelandra nitida"
"Aphelandra nuda"
"Aphelandra ornata"
"Aphelandra paulensis"
"Aphelandra phrynioides"
"Aphelandra prismatica"
"Aphelandra rigida"
"Aphelandra schottiana"
"Aphelandra squarrosa"
"Aphelandra stephanophysa"
"Aphelandra variegata"
"Aphelandra wasshausenii"
"Chamaeranthemum beyrichii"
"Chamaeranthemum gaudichaudii"
"Clistax brasiliensis"
"Dicliptera squarrosa"
"Dyschoriste hygrophiloides"
"Dyschoriste lavandulacea"
"Herpetacanthus melancholicus"
"Herpetacanthus rubiginosus"
"Hygrophila costata"
"Justicia axillaris"
"Justicia beyrichii"
"Justicia brasiliana"
"Justicia carnea"
"Justicia comata"
"Justicia congrua"
"Justicia cyrtantheriformis"
"Justicia dasyclados"
"Justicia floribunda"
"Justicia genuflexa"
"Justicia glaziovii"
"Justicia involucrata"
"Justicia kleinii"
"Justicia luschnathii"
"Justicia lythroides"
"Justicia meyeniana"
"Justicia nervata"
"Justicia oblonga"
"Justicia polita"
"Justicia pygmaea"
"Justicia scheidweileri"
"Justicia schenckiana"
"Justicia sebastianopolitanae"
"Justicia symphyantha"
"Justicia tijucensis"
"Justicia yhuensis"
"Lepidagathis cuneiformis"
"Lepidagathis laxifolia"
"Lepidagathis meridionalis"
"Lepidagathis nemoralis"
"Mendoncia bahiensis"
"Mendoncia blanchetiana"
"Mendoncia mollis"
"Mendoncia puberula"
"Mendoncia velloziana"
"Odontonema barlerioides"
"Pachystachys spicata"
"Pseuderanthemum heterophyllum"
"Pseuderanthemum riedelianum"
"Pseuderanthemum verbenaceum"
"Pseuderanthemum exaequatum"
"Ruellia affinis"
"Ruellia brevicaulis"
"Ruellia brevifolia"
"Ruellia bulbifera"
"Ruellia curviflora"
"Ruellia elegans"
"Ruellia epallocaulos"
"Ruellia erythropus"
"Ruellia geminiflora"
"Ruellia kleinii"
"Ruellia macrantha"
"Ruellia menthoides"
"Ruellia reitzii"
"Ruellia solitaria"
"Ruellia subsessilis"
"Schaueria gonatistachya"
"Schaueria lachnostachya"
"Schaueria macrophylla"
"Sebastianoschaueria oblongata"
"Staurogyne alba"
"Staurogyne anigozanthus"
"Staurogyne brachiata"
"Staurogyne ericoides"
"Staurogyne euryphylla"
"Staurogyne eustachya"
"Staurogyne flava"
"Staurogyne itatiaiae"
"Staurogyne mandioccana"
"Staurogyne minarum"
"Staurogyne parva"
"Staurogyne riedeliana"
"Staurogyne rubescens"
"Staurogyne sylvatica"
"Staurogyne vauthieriana"
"Staurogyne veronicifolia"
"Staurogyne warmingiana"
"Stenandrium mandioccanum"
"Stenandrium tenellum"
"Stenostephanus lobeliiformis"
"Carpotroche brasiliensis"
"Kuhlmanniodendron apterocarpum"
"Achatocarpus praecox"
"Sambucus australis"
"Echinodorus grandiflorus"
"Echinodorus lanceolatus"
"Echinodorus macrophyllus"
"Echinodorus paniculatus"
"Echinodorus uruguayensis"
"Sagittaria guayanensis"
"Sagittaria lancifolia"
"Sagittaria montevidensis"
"Sagittaria rhombifolia"
"Alstroemeria amabilis"
"Alstroemeria apertiflora"
"Alstroemeria capixaba"
"Alstroemeria caryophyllaea"
"Alstroemeria cunha"
"Alstroemeria foliosa"
"Alstroemeria fuscovinosa"
"Alstroemeria gardneri"
"Alstroemeria inodora"
"Alstroemeria isabelleana"
"Alstroemeria malmeana"
"Alstroemeria plantaginea"
"Alstroemeria psittacina"
"Alstroemeria radula"
"Alstroemeria sellowiana"
"Alstroemeria speciosa"
"Alstroemeria stenophylla"
"Alstroemeria variegata"
"Bomarea edulis"
"Alternanthera brasiliana"
"Alternanthera sessilis"
"Alternanthera tenella"
"Celosia corymbifera"
"Celosia grandifolia"
"Chamissoa acuminata"
"Chamissoa altissima"
"Gomphrena elegans"
"Gomphrena scandens"
"Gomphrena vaga"
"Hebanthe erianthos"
"Hebanthe pulverulenta"
"Hebanthe spicata"
"Herbstia brasiliana"
"Iresine diffusa"
"Lecosia formicarum"
"Lecosia oppositifolia"
"Pfaffia glomerata"
"Pfaffia gnaphaloides"
"Pfaffia tuberosa"
"Crinum americanum"
"Griffinia alba"
"Griffinia arifolia"
"Griffinia colatinensis"
"Griffinia concinna"
"Griffinia espiritensis"
"Griffinia hyacinthina"
"Griffinia ilheusiana"
"Griffinia intermedia"
"Griffinia mucurina"
"Griffinia parviflora"
"Griffinia paubrasilica"
"Griffinia rochae"
"Hippeastrum aulicum"
"Hippeastrum blossfeldiae"
"Hippeastrum brasilianum"
"Hippeastrum breviflorum"
"Hippeastrum calyptratum"
"Hippeastrum glaucescens"
"Hippeastrum marumbiense"
"Hippeastrum papilio"
"Hippeastrum psittacinum"
"Hippeastrum puniceum"
"Hippeastrum reticulatum"
"Hippeastrum santacatarina"
"Hippeastrum striatum"
"Zephyranthes amoena"
"Zephyranthes capivarina"
"Zephyranthes flavissima"
"Zephyranthes gratissima"
"Zephyranthes lagesiana"
"Zephyranthes paranaensis"
"Zephyranthes robusta"
"Anacardium occidentale"
"Astronium concinnum"
"Astronium fraxinifolium"
"Astronium graveolens"
"Lithraea brasiliensis"
"Lithraea molleoides"
"Schinus lentiscifolia"
"Schinus molle"
"Spondias macrocarpa"
"Spondias mombin"
"Spondias venulosa"
"Tapirira guianensis"
"Tapirira obtusa"
"Thyrsodium spruceanum"
"Allamanda cathartica"
"Allamanda schottii"
"Araujia sericifera"
"Asclepias aequicornu"
"Asclepias bracteolata"
"Asclepias candida"
"Asclepias curassavica"
"Asclepias langsdorffii"
"Asclepias mellodora"
"Aspidosperma australe"
"Aspidosperma camporum"
"Aspidosperma compactinervium"
"Aspidosperma cuspa"
"Aspidosperma cylindrocarpon"
"Aspidosperma discolor"
"Aspidosperma illustre"
"Aspidosperma olivaceum"
"Aspidosperma parvifolium"
"Aspidosperma polyneuron"
"Aspidosperma quirandy"
"Aspidosperma ramiflorum"
"Aspidosperma riedelii"
"Aspidosperma subincanum"
"Aspidosperma thomasii"
"Bahiella blanchetii"
"Bahiella infundibuliflora"
"Barjonia erecta"
"Blepharodon ampliflorum"
"Blepharodon bicuspidatum"
"Blepharodon lineare"
"Blepharodon reflexum"
"Condylocarpon isthmicum"
"Cynanchum brasiliense"
"Cynanchum montevidense"
"Cynanchum roulinioides"
"Ditassa aequicymosa"
"Ditassa banksii"
"Ditassa bicolor"
"Ditassa blanchetii"
"Ditassa burchellii"
"Ditassa conceptionis"
"Ditassa congesta"
"Ditassa crassifolia"
"Ditassa duartei"
"Ditassa edmundoi"
"Ditassa gracilis"
"Ditassa hispida"
"Ditassa imbricata"
"Ditassa laevis"
"Ditassa lenheirensis"
"Ditassa leonii"
"Ditassa linearis"
"Ditassa longicaulis"
"Ditassa longisepala"
"Ditassa maricaensis"
"Ditassa mucronata"
"Ditassa nitida"
"Ditassa obcordata"
"Ditassa oberdanii"
"Ditassa oxyphylla"
"Ditassa pedunculata"
"Ditassa pohliana"
"Ditassa retusa"
"Ditassa subumbellata"
"Ditassa succedanea"
"Ditassa tomentosa"
"Fischeria stellata"
"Forsteronia australis"
"Forsteronia cordata"
"Forsteronia glabrescens"
"Forsteronia leptocarpa"
"Forsteronia montana"
"Forsteronia pilosa"
"Forsteronia pubescens"
"Forsteronia refracta"
"Forsteronia rufa"
"Forsteronia thyrsoidea"
"Forsteronia velloziana"
"Funastrum clausum"
"Geissospermum laeve"
"Gonolobus dorothyanus"
"Gonolobus parviflorus"
"Gonolobus rostratus"
"Gyrostelma bornmuelleri"
"Gyrostelma oxypetaloides"
"Hemipogon acerosus"
"Hemipogon hemipogonoides"
"Hemipogon setaceus"
"Himatanthus bracteatus"
"Hypolobus infractus"
"Jobinia connivens"
"Jobinia grandis"
"Jobinia hatschbachii"
"Jobinia lindbergii"
"Jobinia longicoronata"
"Jobinia paranaensis"
"Kerbera eichleri"
"Lacmellea bahiensis"
"Lacmellea pauciflora"
"Macoubea guianensis"
"Macoubea sprucei"
"Macroditassa laurifolia"
"Macroditassa laxa"
"Macroditassa marianae"
"Macroditassa morilloana"
"Macroscepis aurea"
"Malouetia cestroides"
"Mandevilla atroviolacea"
"Mandevilla coccinea"
"Mandevilla crassinoda"
"Mandevilla emarginata"
"Mandevilla fragrans"
"Mandevilla funiformis"
"Mandevilla hirsuta"
"Mandevilla illustris"
"Mandevilla immaculata"
"Mandevilla lucida"
"Mandevilla luetzelburgii"
"Mandevilla moricandiana"
"Mandevilla pendula"
"Mandevilla pentlandiana"
"Mandevilla permixta"
"Mandevilla pohliana"
"Mandevilla scabra"
"Mandevilla sellowii"
"Mandevilla splendens"
"Mandevilla tenuifolia"
"Mandevilla urceolata"
"Mandevilla urophylla"
"Mandevilla venulosa"
"Mandevilla widgrenii"
"Matelea bahiensis"
"Matelea barrosiana"
"Matelea capillacea"
"Matelea denticulata"
"Matelea dusenii"
"Matelea fournieri"
"Matelea glaziovii"
"Matelea hatschbachii"
"Matelea marcoassisii"
"Matelea orthosioides"
"Matelea pedalis"
"Matelea pyrrhotricha"
"Matelea reitzii"
"Matelea riparia"
"Minaria acerosa"
"Minaria cordata"
"Minaria decussata"
"Minaria micromeria"
"Minaria monocoronata"
"Nautonia nummularia"
"Odontadenia gracilipes"
"Orthosia arenosa"
"Orthosia congesta"
"Orthosia dusenii"
"Orthosia eichleri"
"Orthosia guilleminiana"
"Orthosia itatiaiensis"
"Orthosia loandensis"
"Orthosia multiflora"
"Orthosia parviflora"
"Orthosia scoparia"
"Orthosia umbrosa"
"Orthosia urceolata"
"Orthosia virgata"
"Oxypetalum alpinum"
"Oxypetalum appendiculatum"
"Oxypetalum arachnoideum"
"Oxypetalum arnottianum"
"Oxypetalum balansae"
"Oxypetalum banksii"
"Oxypetalum capitatum"
"Oxypetalum charrua"
"Oxypetalum chodatianum"
"Oxypetalum coalitum"
"Oxypetalum commersonianum"
"Oxypetalum confusum"
"Oxypetalum costae"
"Oxypetalum crispum"
"Oxypetalum dusenii"
"Oxypetalum erectum"
"Oxypetalum erianthum"
"Oxypetalum erostre"
"Oxypetalum foliosum"
"Oxypetalum glaziovianum"
"Oxypetalum glaziovii"
"Oxypetalum hoehnei"
"Oxypetalum humile"
"Oxypetalum incanum"
"Oxypetalum insigne"
"Oxypetalum jacobinae"
"Oxypetalum joergensenii"
"Oxypetalum kleinii"
"Oxypetalum lanatum"
"Oxypetalum leonii"
"Oxypetalum lineare"
"Oxypetalum lutescens"
"Oxypetalum macrolepis"
"Oxypetalum malmei"
"Oxypetalum martii"
"Oxypetalum microphyllum"
"Oxypetalum minarum"
"Oxypetalum molle"
"Oxypetalum montanum"
"Oxypetalum morilloanum"
"Oxypetalum mosenii"
"Oxypetalum obtusifolium"
"Oxypetalum ostenii"
"Oxypetalum pachyglossum"
"Oxypetalum pachygynum"
"Oxypetalum pannosum"
"Oxypetalum parviflorum"
"Oxypetalum patulum"
"Oxypetalum pilosum"
"Oxypetalum polyanthum"
"Oxypetalum regnellii"
"Oxypetalum reitzii"
"Oxypetalum schottii"
"Oxypetalum solanoides"
"Oxypetalum stipatum"
"Oxypetalum strictum"
"Oxypetalum sublanatum"
"Oxypetalum suboppositum"
"Oxypetalum tomentosum"
"Oxypetalum tubatum"
"Oxypetalum warmingii"
"Oxypetalum wightianum"
"Peplonia asteria"
"Peplonia axillaris"
"Peplonia bradeana"
"Peplonia hatschbachii"
"Peplonia organensis"
"Peplonia riedelii"
"Petalostelma calcaratum"
"Prestonia bahiensis"
"Prestonia calycina"
"Prestonia coalita"
"Prestonia denticulata"
"Prestonia didyma"
"Prestonia dusenii"
"Prestonia solanifolia"
"Prestonia tomentosa"
"Prestonia trifida"
"Pseudibatia suberosa"
"Rauvolfia atlantica"
"Rauvolfia bahiensis"
"Rauvolfia capixabae"
"Rauvolfia grandiflora"
"Rauvolfia mattfeldiana"
"Rauvolfia moricandii"
"Rauvolfia pruinosifolia"
"Rauvolfia sellowii"
"Schubertia grandiflora"
"Schubertia multiflora"
"Secondatia densiflora"
"Skytanthus hancorniifolius"
"Tabernaemontana catharinensis"
"Tabernaemontana flavicans"
"Tabernaemontana hystrix"
"Tabernaemontana laeta"
"Tabernaemontana solanifolia"
"Tassadia obovata"
"Tassadia propinqua"
"Temnadenia odorifera"
"Temnadenia violacea"
"Widgrenia corymbosa"
"Ilex affinis"
"Ilex blanchetii"
"Ilex brasiliensis"
"Ilex brevicuspis"
"Ilex buxifolia"
"Ilex cerasifolia"
"Ilex conocarpa"
"Ilex dumosa"
"Ilex floribunda"
"Ilex glazioviana"
"Ilex integerrima"
"Ilex longipetiolata"
"Ilex loranthoides"
"Ilex microdonta"
"Ilex oligoneura"
"Ilex organensis"
"Ilex paraguariensis"
"Ilex psammophila"
"Ilex pseudobuxus"
"Ilex sapotifolia"
"Ilex schwackeana"
"Ilex taubertiana"
"Ilex theezans"
"Anthurium acutum"
"Anthurium ameliae"
"Anthurium augustinum"
"Anthurium bellum"
"Anthurium binotii"
"Anthurium bocainense"
"Anthurium boudetii"
"Anthurium truncatum"
"Anthurium bragae"
"Anthurium bromelicola"
"Anthurium cleistanthum"
"Anthurium comtum"
"Anthurium coriaceum"
"Anthurium eichleri"
"Anthurium fontellanus"
"Anthurium fragae"
"Anthurium galeottii"
"Anthurium gaudichaudianum"
"Anthurium gladiifolium"
"Anthurium gomesianum"
"Anthurium harrisii"
"Anthurium hoehnei"
"Anthurium inconspicuum"
"Anthurium intermedium"
"Anthurium itanhaense"
"Anthurium jilekii"
"Anthurium jureianum"
"Anthurium langsdorffii"
"Anthurium laucheanum"
"Anthurium leonii"
"Anthurium lhotzkyanum"
"Anthurium loefgrenii"
"Anthurium longicuspidatum"
"Anthurium longifolium"
"Anthurium longipes"
"Anthurium lucidum"
"Anthurium lucioi"
"Anthurium luschnathianum"
"Anthurium marense"
"Anthurium maricense"
"Anthurium maximilianii"
"Anthurium megapetiolatum"
"Anthurium microphyllum"
"Anthurium minarum"
"Anthurium miquelianum"
"Anthurium mourae"
"Anthurium nitidulum"
"Anthurium organense"
"Anthurium parasiticum"
"Anthurium parvum"
"Anthurium pentaphyllum"
"Anthurium pilonense"
"Anthurium radicans"
"Anthurium regnellianum"
"Anthurium santaritense"
"Anthurium scandens"
"Anthurium sellowianum"
"Anthurium simonii"
"Anthurium sinuatum"
"Anthurium solitarium"
"Anthurium sucrii"
"Anthurium unense"
"Anthurium urvilleanum"
"Anthurium validinervium"
"Anthurium victorii"
"Anthurium xanthophylloides"
"Asterostigma concinnum"
"Asterostigma cryptostylum"
"Asterostigma cubense"
"Asterostigma lividum"
"Asterostigma lombardii"
"Asterostigma luschnathianum"
"Asterostigma reticulatum"
"Asterostigma riedelianum"
"Asterostigma tweedianum"
"Caladium bicolor"
"Dracontioides desciscens"
"Heteropsis oblongifolia"
"Heteropsis rigidifolia"
"Heteropsis salicifolia"
"Lemna aequinoctialis"
"Lemna minuta"
"Lemna valdiviana"
"Mangonia tweediana"
"Monstera adansonii"
"Monstera obliqua"
"Monstera praetermissa"
"Montrichardia linifera"
"Philodendron acutatum"
"Philodendron aemulum"
"Philodendron alternans"
"Philodendron altomacaense"
"Philodendron appendiculatum"
"Philodendron bipennifolium"
"Philodendron blanchetianum"
"Philodendron cordatum"
"Philodendron crassinervium"
"Philodendron curvilobum"
"Philodendron edmundoi"
"Philodendron eximium"
"Philodendron fragile"
"Philodendron glaziovii"
"Philodendron hastatum"
"Philodendron hatschbachii"
"Philodendron hederaceum"
"Philodendron inops"
"Philodendron kautskyi"
"Philodendron loefgrenii"
"Philodendron longilaminatum"
"Philodendron martianum"
"Philodendron millerianum"
"Philodendron missionum"
"Philodendron obliquifolium"
"Philodendron ornatum"
"Philodendron pedatum"
"Philodendron propinquum"
"Philodendron recurvifolium"
"Philodendron renauxii"
"Philodendron roseopetiolatum"
"Philodendron rudgeanum"
"Philodendron simonianum"
"Philodendron surinamense"
"Philodendron tenuispadix"
"Philodendron vargealtense"
"Pistia stratiotes"
"Rhodospatha latifolia"
"Rhodospatha oblongata"
"Spathicarpa hastifolia"
"Spirodela intermedia"
"Stenospermation ulei"
"Syngonium vellozianum"
"Taccarum peregrinum"
"Wolffiella neotropica"
"Zomicarpa steigeriana"
"Aralia warmingiana"
"Dendropanax amorimii"
"Dendropanax australis"
"Dendropanax bahiensis"
"Dendropanax brasiliensis"
"Dendropanax caudatus"
"Dendropanax cuneatus"
"Dendropanax denticulatus"
"Dendropanax exilis"
"Dendropanax geniculatus"
"Dendropanax langsdorfii"
"Dendropanax monogynus"
"Dendropanax nebulosus"
"Dendropanax trilobus"
"Hydrocotyle barbarossa"
"Hydrocotyle bonariensis"
"Hydrocotyle callicephala"
"Hydrocotyle exigua"
"Hydrocotyle itatiaiensis"
"Hydrocotyle langsdorffii"
"Hydrocotyle leucocephala"
"Hydrocotyle modesta"
"Hydrocotyle pusilla"
"Hydrocotyle ranunculoides"
"Hydrocotyle ulei"
"Hydrocotyle verticillata"
"Oreopanax capitatus"
"Oreopanax fulvus"
"Apopyros corymbosus"
"Baccharis aliena"
"Baccharis angusticeps"
"Baccharis anomala"
"Baccharis aphylla"
"Baccharis articulata"
"Baccharis axillaris"
"Baccharis bifrons"
"Baccharis brevifolia"
"Baccharis breviseta"
"Baccharis calvescens"
"Baccharis caprariifolia"
"Baccharis ciliata"
"Baccharis cinerea"
"Baccharis cognata"
"Baccharis conyzoides"
"Baccharis coridifolia"
"Baccharis coronata"
"Baccharis crispa"
"Baccharis cultrata"
"Baccharis curitybensis"
"Baccharis deblei"
"Baccharis dentata"
"Baccharis dracunculifolia"
"Baccharis dubia"
"Baccharis erigeroides"
"Baccharis erioclada"
"Baccharis glaziovii"
"Baccharis gracilis"
"Baccharis grandimucronata"
"Baccharis helichrysoides"
"Baccharis hirta"
"Baccharis hypericifolia"
"Baccharis illinita"
"Baccharis incisa"
"Baccharis intermixta"
"Baccharis itatiaiae"
"Baccharis jocheniana"
"Baccharis lateralis"
"Baccharis leucocephala"
"Baccharis leucopappa"
"Baccharis ligustrina"
"Baccharis linearifolia"
"Baccharis lychnophora"
"Baccharis lymanii"
"Baccharis macrophylla"
"Baccharis malmei"
"Baccharis maxima"
"Baccharis megapotamica"
"Baccharis mesoneura"
"Baccharis microcephala"
"Baccharis microdonta"
"Baccharis milleflora"
"Baccharis myricifolia"
"Baccharis myriocephala"
"Baccharis nummularia"
"Baccharis oblongifolia"
"Baccharis ochracea"
"Baccharis opuntioides"
"Baccharis oreophila"
"Baccharis organensis"
"Baccharis oxyodonta"
"Baccharis palustris"
"Baccharis parvidentata"
"Baccharis pauciflosculosa"
"Baccharis pentodonta"
"Baccharis petraea"
"Baccharis phylicifolia"
"Baccharis platypoda"
"Baccharis pseudomyriocephala"
"Baccharis pseudovaccinioides"
"Baccharis pseudovillosa"
"Baccharis psiadioides"
"Baccharis punctulata"
"Baccharis ramboi"
"Baccharis regnellii"
"Baccharis reticularia"
"Baccharis retusa"
"Baccharis riograndensis"
"Baccharis rufidula"
"Baccharis sagittalis"
"Baccharis semiserrata"
"Baccharis serrulata"
"Baccharis singularis"
"Baccharis spicata"
"Baccharis stylosa"
"Baccharis subdentata"
"Baccharis tarchonanthoides"
"Baccharis tridentata"
"Baccharis trinervis"
"Baccharis uleana"
"Baccharis uncinella"
"Baccharis vincifolia"
"Baccharis vulneraria"
"Baccharis wagenitzii"
"Barnadesia caryophylla"
"Cephalopappus sonchifolius"
"Chaptalia cordifolia"
"Chaptalia hermogenis"
"Chaptalia integerrima"
"Chaptalia nutans"
"Chaptalia piloselloides"
"Conyza blakei"
"Conyza bonariensis"
"Conyza catharinensis"
"Conyza glandulitecta"
"Conyza macrophylla"
"Conyza monorchis"
"Conyza primulifolia"
"Conyza reitziana"
"Conyza retirensis"
"Conyza sumatrensis"
"Dasyphyllum brasiliense"
"Dasyphyllum cryptocephalum"
"Dasyphyllum flagellare"
"Dasyphyllum fodinarum"
"Dasyphyllum lanceolatum"
"Dasyphyllum leptacanthum"
"Dasyphyllum spinescens"
"Dasyphyllum vagans"
"Eremanthus capitatus"
"Eremanthus crotonoides"
"Eremanthus erythropappus"
"Eremanthus incanus"
"Hysterionica pinnatiloba"
"Hysterionica pinnatisecta"
"Inulopsis scaposa"
"Inulopsis stenophylla"
"Leptostelma camposportoi"
"Leptostelma maximum"
"Leptostelma tweediei"
"Mikania acuminata"
"Mikania additicia"
"Mikania barrosoana"
"Mikania belemii"
"Mikania biformis"
"Mikania bradei"
"Mikania buddleiaefolia"
"Mikania burchellii"
"Mikania cabrerae"
"Mikania campanulata"
"Mikania camporum"
"Mikania campos"
"Mikania cardiophylla"
"Mikania casarettoi"
"Mikania chlorolepis"
"Mikania citrodora"
"Mikania clematidifolia"
"Mikania coarctata"
"Mikania conferta"
"Mikania confertissima"
"Mikania decumbens"
"Mikania duckei"
"Mikania dusenii"
"Mikania erioclada"
"Mikania eriostrepta"
"Mikania firmula"
"Mikania fulva"
"Mikania glaziovii"
"Mikania glomerata"
"Mikania guilleminii"
"Mikania hastato"
"Mikania hastifolia"
"Mikania hirsutissima"
"Mikania hoehnei"
"Mikania involucrata"
"Mikania kubitzkii"
"Mikania laevigata"
"Mikania lasiandrae"
"Mikania leiolaena"
"Mikania leptotricha"
"Mikania lindbergii"
"Mikania lindleyana"
"Mikania linearifolia"
"Mikania lundiana"
"Mikania mattos"
"Mikania microdonta"
"Mikania microlepis"
"Mikania microphylla"
"Mikania morii"
"Mikania mosenii"
"Mikania myriocephala"
"Mikania nodulosa"
"Mikania nummularia"
"Mikania obtusata"
"Mikania oliveirae"
"Mikania oreophila"
"Mikania orleansensis"
"Mikania pachychaeta"
"Mikania paniculata"
"Mikania paranahybensis"
"Mikania paranensis"
"Mikania parodii"
"Mikania parvifolia"
"Mikania phaeoclados"
"Mikania populifolia"
"Mikania pseudohoffmanniana"
"Mikania reynoldsii"
"Mikania rothii"
"Mikania rotundifolia"
"Mikania rufescens"
"Mikania salviifolia"
"Mikania salzmanniifolia"
"Mikania santosii"
"Mikania scabrida"
"Mikania schenckii"
"Mikania sericea"
"Mikania setigera"
"Mikania smaragdina"
"Mikania stenomeres"
"Mikania stipulacea"
"Mikania stylosa"
"Mikania subverticillata"
"Mikania testudinaria"
"Mikania triangularis"
